Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Female,Yes,2,Graduate,Yes,10996.0,0.0,20.0,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,6423.0,2177.0,47.0,240,0,Rural,N
Female,No,1,Graduate,No,4180.0,1916.0,136.0,360,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,6224.0,2548.0,114.0,360,1,Semiurban,Y
Female,No,0,Graduate,No,2976.0,0.0,59.0,360,1,Semiurban,Y
Female,No,1,Graduate,No,8510.0,2697.0,271.0,360,1,Urban,Y
Male,Yes,2,Graduate,No,3746.0,5093.0,165.0,120,1,Semiurban,Y
Male,Yes,0,Graduate,No,6302.0,1733.0,176.0,360,1,Rural,Y
Female,Yes,1,Graduate,Yes,7545.0,1495.0,100.0,480,1,Semiurban,Y
Male,Yes,1,Graduate,No,6046.0,2125.0,192.0,360,0,Rural,N
Female,Yes,2,Graduate,No,5408.0,5055.0,120.0,300,1,Rural,Y
Female,No,3+,Not Graduate,Yes,5224.0,0.0,127.0,360,1,Semiurban,Y
Female,No,3+,Not Graduate,No,5076.0,1945.0,185.0,360,0,Semiurban,N
Female,No,0,Graduate,No,3931.0,241.0,39.0,360,1,Semiurban,Y
Male,No,0,Graduate,Yes,4211.0,670.0,249.0,360,1,Semiurban,Y
Male,No,0,Graduate,No,8455.0,1516.0,157.0,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,4961.0,3890.0,228.0,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,3471.0,4662.0,75.0,360,1,Rural,Y
Male,No,0,Not Graduate,No,4064.0,2362.0,85.0,180,1,Urban,Y
Female,Yes,3+,Graduate,No,7621.0,960.0,69.0,360,0,Semiurban,N
Male,Yes,3+,Not Graduate,No,6686.0,5838.0,161.0,360,1,Urban,Y
Female,No,3+,Graduate,Yes,6433.0,873.0,149.0,360,0,Semiurban,N
Female,No,1,Not Graduate,Yes,4633.0,629.0,115.0,180,0,Semiurban,Y
Female,No,2,Graduate,No,6461.0,0.0,79.0,360,1,Semiurban,Y
Female,No,2,Graduate,No,3784.0,3973.0,63.0,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,4629.0,3246.0,142.0,180,1,Semiurban,Y
Female,No,2,Not Graduate,Yes,7334.0,5710.0,115.0,240,0,Urban,N
Male,No,2,Graduate,No,7123.0,0.0,100.0,240,1,Urban,Y
Male,No,1,Not Graduate,No,3040.0,4079.0,246.0,360,1,Urban,Y
Female,No,3+,Graduate,No,3318.0,1719.0,140.0,480,0,Rural,N
Male,No,2,Not Graduate,No,5439.0,2970.0,228.0,360,1,Urban,Y
Male,Yes,2,Graduate,No,8997.0,0.0,110.0,360,0,Rural,N
Male,Yes,2,Graduate,No,1500.0,4096.0,161.0,360,1,Urban,Y
Female,Yes,3+,Not Graduate,No,5812.0,2937.0,141.0,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,2173.0,1534.0,35.0,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,3804.0,2697.0,238.0,240,1,Semiurban,Y
Male,Yes,3+,Graduate,No,4398.0,299.0,136.0,360,1,Semiurban,Y
Female,No,2,Graduate,No,4275.0,615.0,194.0,360,1,Semiurban,Y
Male,No,3+,Graduate,No,4026.0,812.0,96.0,360,1,Rural,Y
Male,No,0,Graduate,No,5216.0,0.0,134.0,360,1,Semiurban,Y
Male,No,1,Graduate,No,4022.0,3065.0,89.0,360,1,Urban,Y
Female,No,3+,Not Graduate,No,1983.0,3626.0,225.0,360,1,Urban,Y
Female,No,2,Graduate,Yes,6916.0,408.0,165.0,360,1,Semiurban,Y
Female,Yes,3+,Graduate,No,6856.0,2192.0,169.0,180,1,Semiurban,Y
Male,No,0,Graduate,No,7055.0,1149.0,233.0,360,0,Semiurban,N
Male,Yes,0,Graduate,No,1810.0,2158.0,220.0,360,1,Semiurban,Y
Female,Yes,3+,Graduate,No,5858.0,533.0,195.0,360,1,Semiurban,Y
Female,No,1,Not Graduate,No,6687.0,98.0,53.0,180,1,Semiurban,Y
Female,No,2,Not Graduate,No,2931.0,3389.0,100.0,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,5220.0,1491.0,80.0,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,4944.0,5038.0,192.0,360,1,Semiurban,Y
Female,Yes,3+,Graduate,No,9253.0,1679.0,156.0,300,1,Rural,Y
Female,Yes,0,Graduate,No,9434.0,26.0,55.0,360,1,Semiurban,Y
Male,Yes,3+,Graduate,No,1538.0,3686.0,133.0,360,1,Rural,Y
Female,No,3+,Graduate,No,10687.0,2672.0,48.0,360,1,Urban,Y
Female,No,2,Graduate,No,3187.0,2836.0,142.0,360,1,Semiurban,Y
Male,No,1,Graduate,No,7357.0,3624.0,37.0,360,1,Semiurban,Y
Female,No,0,Graduate,No,7335.0,490.0,179.0,480,0,Semiurban,Y
Male,No,2,Graduate,No,3009.0,1384.0,170.0,360,1,Urban,Y
Male,No,1,Graduate,Yes,6285.0,1309.0,269.0,360,0,Semiurban,N
Female,Yes,0,Graduate,No,4963.0,0.0,200.0,360,0,Semiurban,N
Female,Yes,1,Graduate,Yes,6420.0,1152.0,118.0,360,1,Rural,Y
Male,No,3+,Graduate,No,5707.0,3872.0,198.0,360,1,Semiurban,Y
Female,Yes,1,Graduate,No,7832.0,2003.0,54.0,180,1,Urban,Y
Male,Yes,0,Graduate,Yes,5366.0,0.0,82.0,240,1,Semiurban,Y
Female,Yes,2,Graduate,No,4831.0,0.0,167.0,360,1,Semiurban,Y
Male,No,0,Graduate,No,7611.0,4430.0,20.0,360,1,Urban,Y
Female,Yes,3+,Not Graduate,No,6477.0,1446.0,143.0,480,1,Semiurban,Y
Female,No,3+,Not Graduate,No,6810.0,499.0,79.0,360,1,Semiurban,Y
Female,Yes,3+,Graduate,No,3738.0,1134.0,152.0,360,1,Urban,Y
Female,Yes,3+,Graduate,No,2900.0,0.0,75.0,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,3951.0,4019.0,173.0,360,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,3834.0,932.0,146.0,240,1,Semiurban,N
Male,No,1,Graduate,No,6930.0,3925.0,236.0,480,1,Semiurban,Y
Female,Yes,1,Not Graduate,No,7347.0,1688.0,145.0,180,1,Urban,Y
Female,Yes,3+,Graduate,No,4859.0,4030.0,95.0,360,1,Rural,Y
Male,No,2,Graduate,No,8348.0,2036.0,129.0,360,1,Semiurban,Y
Female,No,2,Graduate,Yes,8211.0,3050.0,58.0,360,1,Urban,Y
Female,Yes,3+,Graduate,No,5735.0,2822.0,171.0,360,1,Rural,Y
Male,No,2,Graduate,No,3392.0,2660.0,183.0,360,1,Urban,Y
Male,No,1,Graduate,Yes,8666.0,2191.0,305.0,300,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,5066.0,1204.0,105.0,360,1,Semiurban,Y
Male,No,2,Not Graduate,No,5478.0,4856.0,128.0,300,0,Rural,N
Male,No,0,Graduate,No,4453.0,58.0,108.0,360,1,Rural,Y
Female,No,2,Graduate,Yes,3242.0,1607.0,159.0,360,1,Urban,N
Female,Yes,2,Graduate,No,1969.0,1625.0,170.0,300,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,6592.0,2284.0,142.0,300,1,Urban,Y
Female,Yes,2,Graduate,No,3477.0,870.0,216.0,360,1,Semiurban,Y
Female,No,3+,Not Graduate,No,11931.0,2135.0,105.0,180,1,Semiurban,Y
Male,No,3+,Graduate,No,2811.0,1313.0,209.0,300,1,Urban,Y
Female,Yes,2,Graduate,No,2434.0,0.0,180.0,360,1,Urban,Y
Female,Yes,1,Graduate,Yes,6322.0,1616.0,144.0,480,1,Urban,Y
Female,No,0,Graduate,Yes,8564.0,0.0,125.0,360,1,Urban,Y
Female,No,3+,Graduate,No,5342.0,0.0,303.0,360,0,Urban,N
Female,No,3+,Graduate,No,6459.0,1833.0,92.0,480,1,Rural,Y
Male,Yes,2,Graduate,No,1500.0,2429.0,164.0,360,1,Semiurban,Y
Female,No,3+,Not Graduate,No,3709.0,2495.0,96.0,360,0,Semiurban,N
Female,Yes,3+,Not Graduate,No,2838.0,2564.0,261.0,360,1,Rural,Y
Male,No,3+,Not Graduate,No,1500.0,0.0,203.0,360,1,Semiurban,Y
Female,Yes,2,Graduate,No,5457.0,0.0,101.0,360,0,Semiurban,N
Male,Yes,0,Graduate,No,1500.0,4955.0,178.0,360,1,Rural,Y
Male,Yes,0,Not Graduate,No,2291.0,0.0,162.0,180,1,Semiurban,Y
Male,No,0,Graduate,No,4018.0,2638.0,111.0,360,1,Semiurban,Y
Female,No,1,Graduate,No,3371.0,432.0,194.0,300,1,Rural,N
Male,Yes,2,Not Graduate,No,6072.0,1735.0,170.0,360,1,Semiurban,Y
Male,No,1,Graduate,No,5872.0,523.0,159.0,240,1,Semiurban,Y
Male,Yes,0,Graduate,No,7166.0,2555.0,142.0,360,0,Rural,Y
Female,Yes,0,Not Graduate,No,6855.0,1833.0,173.0,360,1,Semiurban,Y
Female,Yes,3+,Graduate,No,7710.0,838.0,160.0,360,1,Rural,Y
Male,No,3+,Graduate,Yes,5196.0,0.0,149.0,240,1,Urban,Y
Male,Yes,1,Graduate,No,5868.0,2055.0,103.0,300,0,Urban,N
Female,No,3+,Graduate,No,6325.0,0.0,255.0,360,1,Semiurban,Y
Male,Yes,2,Graduate,Yes,5512.0,2327.0,77.0,360,0,Urban,N
Female,Yes,3+,Not Graduate,No,4326.0,6065.0,173.0,360,1,Rural,Y
Male,Yes,3+,Not Graduate,Yes,4469.0,3895.0,124.0,360,1,Urban,Y
Female,No,2,Graduate,No,3401.0,2821.0,259.0,300,1,Semiurban,Y
Male,Yes,1,Graduate,No,6128.0,1454.0,86.0,360,1,Urban,Y
Male,No,2,Not Graduate,No,4993.0,0.0,97.0,360,1,Rural,Y
Female,No,1,Graduate,No,3741.0,0.0,82.0,180,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,3743.0,3781.0,166.0,480,1,Urban,Y
Female,No,2,Graduate,No,2537.0,257.0,56.0,240,1,Urban,N
Female,No,2,Graduate,No,7353.0,411.0,114.0,360,1,Semiurban,Y
Female,Yes,2,Graduate,Yes,5373.0,1318.0,20.0,360,1,Rural,Y
Female,Yes,1,Graduate,No,3302.0,0.0,161.0,360,1,Rural,Y
Female,Yes,1,Graduate,No,6979.0,0.0,112.0,360,1,Urban,Y
Male,No,0,Graduate,No,3967.0,1514.0,48.0,120,0,Semiurban,Y
Male,Yes,2,Graduate,No,2106.0,84.0,216.0,480,1,Urban,Y
Male,No,2,Graduate,No,7447.0,340.0,60.0,360,0,Semiurban,N
Female,No,3+,Graduate,No,4018.0,272.0,197.0,480,1,Semiurban,Y
Male,No,2,Graduate,No,4300.0,2488.0,99.0,360,1,Urban,Y
Male,Yes,1,Graduate,No,5291.0,1205.0,249.0,480,1,Semiurban,Y
Male,No,0,Graduate,No,7714.0,1296.0,194.0,360,1,Rural,Y
Male,Yes,0,Graduate,No,5244.0,2615.0,79.0,360,1,Urban,Y
Male,Yes,1,Graduate,No,2562.0,1359.0,85.0,360,1,Urban,Y
Male,Yes,1,Not Graduate,No,6397.0,1127.0,184.0,360,1,Urban,Y
Female,Yes,1,Graduate,No,4133.0,2400.0,128.0,360,1,Urban,N
Female,Yes,1,Not Graduate,No,9353.0,2736.0,134.0,360,1,Urban,Y
Female,Yes,3+,Not Graduate,No,5198.0,1350.0,228.0,240,0,Semiurban,N
Male,Yes,0,Graduate,No,1500.0,1737.0,96.0,360,1,Urban,N
Female,Yes,1,Graduate,No,5986.0,271.0,151.0,300,1,Semiurban,N
Male,No,0,Not Graduate,No,9478.0,137.0,207.0,480,1,Rural,N
Female,Yes,1,Graduate,No,8667.0,2908.0,198.0,240,1,Rural,Y
Female,No,2,Graduate,No,9228.0,2356.0,135.0,240,1,Semiurban,Y
Female,No,0,Graduate,No,2957.0,2374.0,126.0,360,1,Urban,Y
Male,No,1,Graduate,No,7207.0,2077.0,32.0,360,0,Urban,N
Male,No,0,Graduate,No,3612.0,1679.0,76.0,360,1,Urban,Y
Female,No,3+,Not Graduate,Yes,5693.0,2784.0,166.0,480,1,Rural,Y
Male,No,2,Not Graduate,No,2400.0,3190.0,136.0,360,0,Rural,N
Male,No,0,Graduate,No,3782.0,3149.0,150.0,360,1,Semiurban,Y
Male,No,0,Graduate,No,3712.0,1429.0,213.0,360,1,Urban,Y
Male,Yes,0,Graduate,No,7177.0,3958.0,68.0,360,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,6962.0,1988.0,130.0,360,1,Urban,Y
Male,No,3+,Graduate,No,5809.0,2675.0,157.0,120,1,Rural,Y
Female,Yes,2,Not Graduate,Yes,2229.0,2080.0,99.0,360,1,Urban,Y
Female,No,3+,Not Graduate,No,4514.0,2020.0,238.0,360,1,Semiurban,Y
Female,Yes,1,Graduate,No,3559.0,349.0,204.0,300,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,7113.0,2792.0,164.0,480,1,Urban,Y
Female,No,1,Not Graduate,No,7792.0,6437.0,262.0,360,1,Semiurban,Y
Male,No,0,Graduate,No,7524.0,963.0,48.0,300,1,Rural,Y
Male,No,3+,Graduate,Yes,3539.0,1721.0,144.0,360,0,Urban,N
Male,Yes,0,Not Graduate,No,1500.0,841.0,169.0,300,1,Semiurban,Y
Male,No,1,Graduate,No,1500.0,770.0,86.0,180,1,Semiurban,Y
Female,No,2,Graduate,No,8328.0,4226.0,165.0,360,1,Urban,Y
Male,No,0,Graduate,Yes,4317.0,456.0,73.0,240,0,Urban,N
Female,No,1,Graduate,No,3548.0,794.0,190.0,240,0,Urban,N
Male,No,1,Not Graduate,No,8814.0,0.0,214.0,360,1,Urban,Y
Female,No,1,Graduate,No,7983.0,312.0,163.0,180,1,Semiurban,Y
Male,Yes,0,Graduate,No,5254.0,0.0,25.0,360,1,Rural,Y
Male,No,0,Graduate,No,4555.0,2674.0,82.0,360,0,Semiurban,N
Female,No,0,Not Graduate,No,4909.0,6359.0,182.0,240,1,Rural,Y
Female,No,1,Graduate,No,5700.0,977.0,146.0,360,0,Semiurban,N
Male,No,0,Not Graduate,No,8720.0,0.0,20.0,240,0,Semiurban,N
Female,No,3+,Graduate,Yes,6129.0,3130.0,226.0,360,1,Semiurban,N
Male,Yes,0,Not Graduate,No,6797.0,364.0,154.0,180,1,Urban,Y
Female,No,2,Not Graduate,No,7772.0,3809.0,92.0,480,1,Urban,N
Female,Yes,2,Not Graduate,No,2627.0,1121.0,210.0,300,0,Semiurban,N
Male,Yes,1,Not Graduate,No,6861.0,526.0,101.0,360,0,Semiurban,N
Female,No,3+,Graduate,No,4552.0,1297.0,100.0,240,1,Semiurban,Y
Male,No,0,Not Graduate,Yes,1500.0,2888.0,168.0,300,1,Urban,N
Male,Yes,0,Graduate,Yes,1500.0,1213.0,261.0,360,1,Rural,Y
Male,Yes,1,Graduate,No,2960.0,756.0,251.0,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,6369.0,1262.0,168.0,480,0,Rural,N
Female,Yes,1,Not Graduate,No,5450.0,0.0,175.0,120,1,Rural,Y
Male,Yes,1,Graduate,No,5606.0,2275.0,196.0,120,1,Rural,Y
Male,Yes,3+,Graduate,No,9492.0,0.0,63.0,360,1,Semiurban,Y
Female,No,1,Graduate,No,2408.0,845.0,187.0,360,0,Urban,N
Male,No,3+,Graduate,No,5140.0,2891.0,97.0,360,1,Semiurban,Y
Female,No,3+,Graduate,No,5870.0,2115.0,166.0,360,1,Semiurban,Y
Male,Yes,3+,Graduate,No,3580.0,2604.0,130.0,360,1,Semiurban,Y
Female,Yes,0,Graduate,No,5262.0,1489.0,178.0,240,1,Urban,Y
Female,Yes,3+,Graduate,Yes,1680.0,3589.0,153.0,360,1,Urban,Y
Female,No,2,Graduate,Yes,8302.0,3172.0,20.0,360,1,Urban,N
Male,Yes,3+,Graduate,No,3700.0,2358.0,157.0,360,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,9669.0,3177.0,187.0,360,1,Semiurban,Y
Female,Yes,3+,Graduate,No,5129.0,2876.0,174.0,300,1,Rural,Y
Male,No,2,Graduate,Yes,7462.0,853.0,138.0,360,1,Semiurban,Y
Female,Yes,0,Graduate,No,5083.0,0.0,252.0,360,0,Semiurban,N
Male,Yes,1,Graduate,No,5132.0,2315.0,165.0,360,1,Urban,Y
Female,No,0,Not Graduate,No,3915.0,2528.0,173.0,480,1,Semiurban,Y
Female,No,3+,Graduate,Yes,5462.0,3454.0,213.0,360,1,Urban,Y
Male,Yes,1,Graduate,No,5900.0,8.0,169.0,120,1,Urban,Y
Male,Yes,0,Not Graduate,No,3475.0,59.0,87.0,360,1,Urban,Y
Female,No,2,Not Graduate,No,4925.0,2382.0,20.0,300,1,Urban,Y
Male,No,1,Graduate,No,3858.0,1479.0,114.0,360,1,Urban,Y
Female,No,0,Graduate,Yes,10259.0,0.0,194.0,240,1,Semiurban,Y
Male,Yes,3+,Graduate,No,5003.0,2238.0,122.0,360,1,Urban,Y
Female,Yes,3+,Graduate,No,8600.0,0.0,197.0,360,1,Urban,Y
Female,No,2,Graduate,No,4770.0,0.0,155.0,360,0,Urban,N
Male,Yes,2,Graduate,No,5770.0,3898.0,229.0,240,1,Semiurban,Y
Female,Yes,1,Not Graduate,No,2293.0,4702.0,126.0,360,1,Semiurban,Y
Male,No,2,Graduate,No,4216.0,0.0,175.0,360,1,Urban,Y
Female,No,2,Graduate,No,5663.0,1040.0,178.0,360,1,Urban,Y
Male,Yes,0,Graduate,No,8689.0,1672.0,243.0,240,1,Rural,N
Male,No,0,Not Graduate,No,5688.0,4628.0,34.0,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,8244.0,762.0,115.0,360,1,Semiurban,Y
Male,No,1,Not Graduate,No,6610.0,789.0,200.0,360,1,Semiurban,Y
Male,No,0,Not Graduate,No,8780.0,4233.0,245.0,240,1,Rural,Y
Female,Yes,0,Graduate,No,5070.0,963.0,161.0,480,1,Rural,Y
Male,No,3+,Graduate,No,10458.0,2828.0,126.0,300,1,Semiurban,Y
Female,Yes,1,Graduate,No,4132.0,0.0,194.0,300,1,Semiurban,Y
Male,No,2,Graduate,No,3514.0,1309.0,201.0,240,1,Urban,Y
Male,Yes,2,Not Graduate,Yes,2538.0,0.0,122.0,360,1,Semiurban,Y
Female,Yes,2,Graduate,No,10328.0,0.0,166.0,360,1,Semiurban,Y
Female,No,2,Graduate,No,7003.0,3027.0,222.0,360,1,Urban,Y
Male,No,1,Graduate,No,4465.0,1515.0,268.0,360,1,Rural,N
Male,Yes,3+,Graduate,No,7948.0,1058.0,193.0,360,0,Rural,Y
Female,No,1,Graduate,Yes,6713.0,327.0,148.0,360,1,Urban,Y
Female,No,3+,Graduate,No,9525.0,1225.0,141.0,360,1,Rural,Y
Female,Yes,1,Graduate,Yes,1795.0,2112.0,181.0,360,1,Urban,Y
Male,No,0,Graduate,No,4616.0,3271.0,137.0,300,1,Semiurban,Y
Male,No,3+,Graduate,No,4182.0,0.0,157.0,480,1,Rural,Y
Female,Yes,0,Graduate,No,1500.0,186.0,76.0,360,1,Urban,N
Female,Yes,3+,Graduate,No,7533.0,1870.0,229.0,360,1,Semiurban,Y
Male,No,0,Not Graduate,No,4605.0,1432.0,71.0,360,1,Semiurban,N
Male,Yes,0,Graduate,No,6827.0,2286.0,117.0,360,1,Urban,Y
Male,No,2,Graduate,No,10391.0,2055.0,151.0,360,1,Semiurban,Y
Female,No,3+,Graduate,No,4423.0,1082.0,274.0,360,1,Urban,Y
Male,Yes,1,Graduate,No,4273.0,704.0,118.0,360,1,Semiurban,Y
Male,Yes,0,Graduate,Yes,5461.0,1183.0,102.0,360,1,Urban,Y
Male,No,0,Graduate,No,7372.0,3553.0,109.0,360,1,Urban,Y
Female,Yes,3+,Not Graduate,No,3953.0,356.0,253.0,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,3812.0,1493.0,20.0,120,1,Urban,N
Male,No,0,Graduate,No,7526.0,1912.0,80.0,480,1,Semiurban,Y
Male,No,1,Graduate,No,6033.0,4253.0,323.0,360,1,Semiurban,Y
Male,No,1,Graduate,No,1500.0,1089.0,183.0,360,1,Semiurban,Y
Female,No,0,Graduate,No,2504.0,3230.0,73.0,360,1,Urban,Y
Male,No,3+,Graduate,No,8503.0,3694.0,142.0,360,1,Rural,Y
Male,Yes,2,Graduate,No,6084.0,1492.0,149.0,360,1,Semiurban,Y
Female,No,0,Graduate,Yes,3523.0,1242.0,200.0,480,1,Urban,N
Male,No,2,Not Graduate,No,4825.0,1041.0,265.0,360,1,Semiurban,Y
Female,No,1,Graduate,No,5229.0,1165.0,170.0,360,1,Semiurban,Y
Female,No,0,Not Graduate,No,6819.0,3052.0,110.0,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,2212.0,1993.0,196.0,360,1,Semiurban,Y
Female,No,0,Graduate,No,3350.0,2000.0,100.0,180,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,5801.0,0.0,78.0,360,1,Rural,Y
Female,No,3+,Graduate,No,4980.0,0.0,31.0,300,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,6458.0,5244.0,43.0,360,1,Rural,N
Female,Yes,0,Graduate,No,2495.0,1298.0,87.0,360,1,Semiurban,Y
Female,Yes,3+,Graduate,Yes,5986.0,283.0,68.0,360,1,Rural,Y
Female,No,2,Not Graduate,No,7601.0,4033.0,165.0,360,1,Rural,Y
Male,No,3+,Graduate,Yes,6271.0,2079.0,67.0,360,1,Urban,Y
Male,Yes,2,Graduate,Yes,5506.0,2583.0,20.0,240,1,Urban,Y
Male,Yes,1,Graduate,No,4989.0,1365.0,77.0,480,1,Semiurban,Y
Male,Yes,2,Graduate,No,3363.0,1058.0,114.0,360,1,Semiurban,Y
Female,Yes,2,Not Graduate,No,5042.0,1312.0,106.0,240,1,Semiurban,Y
Male,No,2,Graduate,No,7971.0,0.0,244.0,300,0,Semiurban,Y
Female,Yes,0,Graduate,No,4938.0,1451.0,105.0,480,1,Rural,Y
Female,Yes,1,Not Graduate,No,3242.0,2103.0,202.0,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,4117.0,4746.0,144.0,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,5642.0,1746.0,142.0,240,1,Urban,Y
Female,No,0,Graduate,No,4378.0,0.0,91.0,300,1,Semiurban,Y
Male,No,0,Graduate,No,6268.0,1440.0,141.0,360,1,Urban,Y
Male,Yes,3+,Graduate,No,6350.0,6257.0,95.0,240,1,Semiurban,Y
Female,No,0,Graduate,No,7156.0,3073.0,156.0,120,0,Semiurban,N
Female,Yes,3+,Graduate,Yes,8332.0,221.0,130.0,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,7391.0,2605.0,84.0,360,1,Semiurban,Y
Male,Yes,3+,Graduate,No,3145.0,339.0,209.0,360,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,3212.0,0.0,173.0,240,1,Urban,Y
Female,Yes,2,Graduate,No,5033.0,1008.0,116.0,480,1,Urban,Y
Female,No,1,Graduate,No,4207.0,1756.0,154.0,360,1,Rural,Y
Female,No,1,Not Graduate,No,2696.0,0.0,140.0,360,1,Rural,N
Female,No,1,Graduate,No,4228.0,0.0,89.0,360,1,Urban,Y
Female,Yes,2,Graduate,No,4156.0,1618.0,150.0,360,1,Urban,Y
Male,Yes,1,Graduate,Yes,3722.0,906.0,105.0,360,1,Semiurban,Y
Male,Yes,2,Graduate,Yes,4505.0,2271.0,84.0,360,1,Semiurban,Y
Female,Yes,3+,Not Graduate,No,7793.0,0.0,40.0,360,1,Semiurban,Y
Female,Yes,1,Graduate,Yes,5638.0,2814.0,122.0,360,1,Urban,Y
Female,No,1,Graduate,No,10638.0,0.0,182.0,480,1,Semiurban,Y
Male,No,0,Graduate,No,5575.0,4393.0,100.0,360,1,Urban,Y
Male,No,1,Graduate,No,4562.0,0.0,309.0,360,0,Urban,N
Male,No,0,Graduate,No,5209.0,0.0,203.0,360,1,Urban,Y
Male,No,0,Graduate,No,5764.0,2310.0,230.0,360,1,Semiurban,Y
Female,No,3+,Graduate,No,6158.0,4429.0,197.0,360,0,Semiurban,N
Female,Yes,0,Graduate,No,9769.0,2136.0,265.0,360,1,Urban,N
Male,No,1,Graduate,No,3340.0,2557.0,94.0,360,1,Semiurban,Y
Male,No,3+,Graduate,No,7090.0,1630.0,20.0,120,0,Semiurban,N
Female,No,3+,Graduate,Yes,5657.0,0.0,116.0,360,1,Semiurban,Y
